alpha,sim_final_a1_s1,sim_final_a1_s2,sim_final_s1,sim_finite,sim_max_abs_q_mean,sim_max_policy,sim_min_policy,sim_tail_std_a1,sim_theory_rmse_policy,theory_final_a1_s1,theory_final_a1_s2,theory_final_s1,theory_finite,theory_max_policy,theory_min_policy,theory_tail_std_a1
0.001,0.9681334495544434,0.36995968222618103,0.46000000834465027,True,7.563487529754639,0.9681334495544434,0.031866561621427536,0.2977125942707062,0.0062553430907428265,0.9753468632698059,0.37170520424842834,0.45745086669921875,True,0.9753468632698059,0.024652965366840363,0.30134323239326477
0.002,0.9789196848869324,0.7516116499900818,0.6049999594688416,True,11.600444793701172,0.9789196848869324,0.021080320701003075,0.18054960668087006,0.02376965619623661,0.9964929819107056,0.8343446850776672,0.6422165632247925,True,0.9964929819107056,0.003506996901705861,0.16368436813354492
0.005,0.9747341275215149,0.9972858428955078,0.687000036239624,True,16.632230758666992,0.9972858428955078,0.0027141619939357042,0.011340619064867496,0.050000887364149094,0.9999973773956299,0.999806821346283,0.6999401450157166,True,0.9999973773956299,2.6870159217651235e-06,0.00013809642405249178
0.01,0.933814525604248,0.9296054840087891,0.6449999809265137,True,16.127859115600586,0.9563571810722351,0.043642815202474594,0.00345428753644228,0.0773942843079567,0.9999986886978149,0.9998776912689209,0.699962317943573,True,0.9999986886978149,1.418206920789089e-06,6.08344234933611e-05
0.02,0.8905125856399536,0.7845784425735474,0.5730000138282776,True,14.533833503723145,0.8923555612564087,0.10764449834823608,0.05014115571975708,0.16407547891139984,0.9999986290931702,0.9998714923858643,0.6999604105949402,True,0.9999986886978149,1.412497795172385e-06,6.302465772023425e-05
0.05,0.8461300730705261,0.6815773844718933,0.515999972820282,True,13.257834434509277,0.8525223135948181,0.14747774600982666,0.07690762728452682,0.2686624526977539,0.9999984502792358,0.999845564365387,0.6999525427818298,True,0.9999986886978149,1.4021968581801048e-06,7.447171083185822e-05
0.1,0.8264299631118774,0.6667176485061646,0.5139999985694885,True,12.911250114440918,0.8460521101951599,0.15394791960716248,0.0861310064792633,0.28837698698043823,0.9999980926513672,0.9997589588165283,0.6999263763427734,True,0.9999986886978149,1.393746515532257e-06,0.00010903245129156858
