alpha,final_a1_s1_gap,final_a1_s2_gap,final_s1_gap,final_s2_gap,sim_final_a1_s1,sim_final_a1_s2,sim_final_s1,sim_finite,sim_max_abs_q_mean,sim_max_policy,sim_min_policy,sim_tail_std_a1,sim_theory_rmse_policy,sim_theory_rmse_state,sim_theory_tail_rmse_policy,sim_theory_tail_rmse_state,theory_final_a1_s1,theory_final_a1_s2,theory_final_s1,theory_finite,theory_max_policy,theory_min_policy,theory_tail_std_a1
0.001,0.010307252407073975,0.0010030269622802734,0.008623778820037842,0.008623689413070679,0.9896856546401978,0.9986014366149902,0.7085000276565552,True,16.526098251342773,0.9986014366149902,0.0013985605910420418,0.004072071518748999,0.013559669256210327,0.014586384408175945,0.007471787743270397,0.011501147411763668,0.9999929070472717,0.9996044635772705,0.6998762488365173,True,0.9999929070472717,7.159935194067657e-06,0.0004265386669430882
0.002,0.012386739253997803,0.0012123584747314453,0.0065381526947021484,0.006538122892379761,0.9876118898391724,0.9986640214920044,0.7064999938011169,True,17.56879425048828,0.9991125464439392,0.0008874778868630528,0.005631791427731514,0.01745433732867241,0.016132555902004242,0.00876654777675867,0.011833295226097107,0.9999986290931702,0.9998763799667358,0.6999618411064148,True,0.9999986290931702,1.4650872799393255e-06,6.34736570646055e-05
0.005,0.0222434401512146,0.032698214054107666,0.013960957527160645,0.01396101713180542,0.9777551889419556,0.9671754240989685,0.6860000491142273,True,17.322866439819336,0.995937168598175,0.004062735941261053,0.0037559331394732,0.030997339636087418,0.02575632929801941,0.026001472026109695,0.023565256968140602,0.9999986290931702,0.9998736381530762,0.6999610066413879,True,0.9999986886978149,1.4207795402398915e-06,6.197706534294412e-05
0.01,0.04835790395736694,0.13118135929107666,0.06695693731307983,0.06695708632469177,0.9516406059265137,0.8686794638633728,0.6330000758171082,True,16.354217529296875,0.9530419707298279,0.0469580739736557,0.0386553630232811,0.08771181851625443,0.06781663000583649,0.09710929542779922,0.07127165794372559,0.9999985098838806,0.9998608231544495,0.699957013130188,True,0.9999986886978149,1.4167417248245329e-06,6.766065052943304e-05
